PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,HasCabin,FamilySize,Sex_encoded,Embarked_C,Embarked_Q,Embarked_S,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unknown
1,0,3,-0.5657364610748746,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,0,0.059159876663617626,1,False,False,True,False,False,False,False,False,False,False,False,True
2,1,1,0.6638610320657843,0.4327933656785018,-0.4736736092984604,0.7868452935884461,1,0.059159876663617626,0,True,False,False,False,False,True,False,False,False,False,False,False
3,1,3,-0.2583370877897099,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,0,-0.5609748304808925,0,False,False,True,False,False,False,False,False,False,False,False,True
4,1,1,0.4333115021019107,0.4327933656785018,-0.4736736092984604,0.4207302360686478,1,0.059159876663617626,0,False,False,True,False,False,True,False,False,False,False,False,False
5,0,3,0.4333115021019107,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,-0.5609748304808925,1,False,False,True,False,False,False,False,False,False,False,False,True
6,0,3,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.47811642890864375,0,-0.5609748304808925,1,False,True,False,False,False,False,False,False,False,False,False,True
7,0,1,1.893458525206443,-0.47454519624983954,-0.4736736092984604,0.395813560675251,1,-0.5609748304808925,1,False,False,True,False,False,False,False,True,False,False,False,False
8,0,3,-2.1027333275006983,2.2474704895351842,0.7676298785983874,-0.22408312108167944,0,1.9195639980971482,1,False,False,True,False,False,False,False,False,False,False,False,True
9,1,3,-0.1814872444684187,-0.47454519624983954,2.0089333664952354,-0.4242561406845337,0,0.6792945838081278,0,False,False,True,False,False,False,False,False,False,False,False,True
10,1,2,-1.180535207645204,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,0,0.059159876663617626,0,True,False,False,False,False,False,False,False,False,False,False,True
11,1,3,-1.949033640858116,0.4327933656785018,0.7676298785983874,-0.312172377522981,1,0.6792945838081278,0,False,False,True,False,False,False,False,False,False,True,False,False
12,1,1,2.200857898491608,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,1,-0.5609748304808925,0,False,False,True,False,False,True,False,False,False,False,False,False
13,0,3,-0.719436147717457,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,-0.5609748304808925,1,False,False,True,False,False,False,False,False,False,False,False,True
14,0,3,0.7407108753870755,0.4327933656785018,5.73284383018578,-0.01870931177853076,0,3.1598334123861687,1,False,False,True,False,False,False,False,False,False,False,False,True
15,0,3,-1.180535207645204,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,0,-0.5609748304808925,0,False,False,True,False,False,False,False,False,False,False,False,True
16,1,2,1.9703083685277343,-0.47454519624983954,-0.4736736092984604,-0.3262666585535892,0,-0.5609748304808925,0,False,False,True,False,False,False,False,False,False,False,False,True
17,0,3,-2.1027333275006983,3.1548090514635256,0.7676298785983874,-0.06199888922968463,0,2.5396987052416584,1,False,True,False,False,False,False,False,False,False,False,False,True
18,1,2,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,0,-0.5609748304808925,1,False,False,True,False,False,False,False,False,False,False,False,True
19,0,3,0.12591212881674602,0.4327933656785018,-0.4736736092984604,-0.2859972841804228,0,0.059159876663617626,0,False,False,True,False,False,False,False,False,False,False,False,True
20,1,3,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,-0.5609748304808925,0,True,False,False,False,False,False,False,False,False,False,False,True
21,0,2,0.4333115021019107,-0.47454519624983954,-0.4736736092984604,-0.12491978668775715,0,-0.5609748304808925,1,False,False,True,False,False,False,False,False,False,False,False,True
22,1,2,0.35646165878061953,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,1,-0.5609748304808925,1,False,False,True,False,False,False,True,False,False,False,False,False
23,1,3,-1.1036853643239128,-0.47454519624983954,-0.4736736092984604,-0.4867562231804066,0,-0.5609748304808925,0,False,True,False,False,False,False,False,False,False,False,False,True
24,1,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,1,-0.5609748304808925,1,False,False,True,True,False,False,False,False,False,False,False,False
25,0,3,-1.6416342675729512,2.2474704895351842,0.7676298785983874,-0.22408312108167944,0,1.9195639980971482,0,False,False,True,False,False,False,False,False,False,False,False,True
26,1,3,0.6638610320657843,0.4327933656785018,5.73284383018578,-0.016444159470040135,0,3.1598334123861687,0,False,False,True,False,False,False,False,False,False,False,False,True
27,0,3,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,-0.5609748304808925,1,True,False,False,False,False,False,False,False,False,False,False,True
28,0,1,-0.7962859910387481,2.2474704895351842,2.0089333664952354,4.647001076532463,1,2.5396987052416584,1,False,False,True,False,False,True,False,False,False,False,False,False
29,1,3,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,0,-0.5609748304808925,0,False,True,False,False,False,False,False,False,False,False,False,True
30,0,3,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,0,-0.5609748304808925,1,False,False,True,False,False,False,False,False,False,False,False,True
